,ABC,10LBS,4th Hallway FDC cabinet,761371,G16810007,,,,
,ABC,10LBS,4th hallway by suite 404,761372,G16810000,,,,
,CO2,20LBS,4th electrical closet,761402,G11332344,,,,
,ABC,10LBS,Suite 501 MSA Storage Rear Door ,761421,F88830391,,,,
,ABC,10LBS,Suite 501 MSA Storage Staff area Front ,761420,F88842271,,,,
BMP5-04,ABC,10LBS,Suite 504 wound care by room 1,761105,F70240998,,,,
BMP5-05,ABC,10LBS,Suite 504 wound care by room 6,761363,G16807128,,,,
BMP5-06,ABC,10LBS,Suite 504 wound care hyperbaric chamber,761070,F70313780,,,,
BMP5-07,ABC,10LBS,Suite 505,761839,F36266982,,,,
,ABC,10LBS,Suite 507 Medical Staff Affairs ,761423,F88832749,,,,
,ABC,10LBS,5th End of crosswalk,761106,F70303696,,,,
,ABC,10LBS,5th Hallway FDC cabinet,761107,F70314319,,,,
,CO2,20LBS,5th Electrical closet,761405,G11335275,,,,
,ABC,10LBS,Suite 500 by restroom,761240,F88773159,,,,
,ABC,10LBS,Suite 500 by infusion,761241,F8870051,,,,
,ABC,10LBS,Suite 506 by processing room,761242,F88770823,,,,
,ABC,10LBS,Suite 506 by rear exit,761243,F8881948,,,,
,ABC,10LBS,Suite 502 by lobby door,761244,F88773160,,,,
,ABC,10LBS,BMP Crosswalk,761015,F72213256,,,,
,CO2,20LBS,Roof penthouse elevator,411739,AB391197,,,,
,CO2,20LBS,Roof penthouse elec side,761404,G11335249,,,,
,CO2,20LBS,Roof penthouse air handler,761403,G11335258,,,,
BMPDL-01,ABC,10LBS,BMP deck upper level next to lobby entrance,781847,I17695701,,,,
BMPP1-01,ABC,10LBS,BMP deck east side P1,761429,F88829008,,,,
BMPP1-02,ABC,10LBS,BMP deck west side P1,761432,F46777810,,,,
BMPP2-01,ABC,10LBS,BMP deck east side P2,761408,G16809996,,,,
BMPP2-02,ABC,10LBS,BMP deck west side P2,411689,F01497312,,,,
BMPP3-01,ABC,10LBS,BMP deck east side P3,281832,F01497358,,,,
BMPP3-02,ABC,10LBS,BMP deck west side P3,281766,I17714130,,,,
BMPP4-01,ABC,10LBS,BMP deck east side P4,761503,G09723202,,,,
BMPP4-02,ABC,5LBS,BMP deck west side P4,761004,AU483180,,,,


+

Location #,Type,Size,Location,Barcode,Serial Number,Pass Y/N,< 5ft Y/N,Date Inspected ,Initials
VDY5-01,ABC,10LBS,VPD L5 Yellow,761002,F46781494,,,,
VDY6-01,ABC,10LBS,VPD L6 Yellow,761496,F44671099,,,,
VDY7-01,ABC,10LBS,VPD L7 Yellow,761633,F70303700,,,,
VDYP-01,ABC,10LBS,VPD yellow elevator penthouse,,F44671123,,,,
VDO1-01,ABC,10LBS,VPD L1 Orange,411733,BE842789,,,,
VDO2-01,ABC,10LBS,VPD L2 Orange,281765,F44671139,,,,
VDO3-01,ABC,10LBS,VPD L3 Orange,761499,G16809102,,,,
VDO4-01,ABC,10LBS,VPD L4 Orange,411622,AC602174,,,,
VDO6-01,ABC,5LBS,VPD L6 Orange,761003,F46781493,,,,
VDO5-01,ABC,5LBS,VPD L5 Orange,761008,E77736392,,,,
VDO7-01,ABC,10LBS,VPD L7 Orange,761492,G16812985,,,,
VDOP-01,ABC,10LBS,VPD orange elevator penthouse,761549,F44671098,,,,
VDB1-01,ABC,10LBS,VPD L1 Blue,411993,F44671135,,,,
VDB2-01,ABC,10LBS,VPD L2 Blue,761643,G13245269,,,,
VDB3-01,ABC,10LBS,VPD L3 Blue,411994,F44671114,,,,
VDB4-01,ABC,10LBS,VPD L4 Blue,441991,F44671113,,,,
VDB5-01,ABC,10LBS,VPD L5 Blue,411995,F44671134,,,,
VDB6-01,ABC,10LBS,VPD L6 Blue,411990,G16812988,,,,
VDB7-01,ABC,10LBS,VPD L7 Blue,411996,F44621088,,,,
VDBP-01,ABC,10LBS,VPD Blue elevator penthouse,411997,F44671111,,,,
VDW-01,ABC,10LBS,VPD fuel storage tank by gate,,F44671140,,,,
VDW-01,BC,5LBS,VPD power station inside 1st level,761607,H33684642,,,,
VDW-01,BC,5LBS,VPD power station inside 1st level read door right,761606,H33685701,,,,
VDW-01,ABC,10LBS,VPD power station 1st level outisde rear door,761038,F70303139,,,,
VDW-01,ABC,10LBS,VPD fire exit by elevator lobby,761039,F70303134,,,,
VDW-02,ABC,25LBS,VPD fuel storage tank inside fence,761116,F70312775,,,,
VDW-03,ABC,10LBS,VPD warehouse north fire exit maint. Area,411631,AC600728,,,,
VDW-04,ABC,10LBS,VPD warehouse maint. Area by door,761040,F70314312,,,,
VDW-06,Purk,20LBS,VPD warehouse generator room right,761604,F58421748,,,,
VDW-07,Purk,20LBS,VPD warehouse generator room left,761603,F58421754,,,,
VDW-08,BC,5LBS,VPD warehouse generator room side door,761605,F59099677,,,,
VDW-09,BC,10LBS,VPD warehouse by bathroom,761608,F52774899,,,,
VDW-10,ABC,5LBS,VPD warehouse by main entrance ,761319,F99915781,,,,
VDW-11,ABC,5LBS,VPD Warehouse by Loading Dock ,761302,G-16807132,,,,


+

Location #,Type,Size,Location,Barcode,Serial Number,Pass Y/N,< 5ft Y/N,Date Inspected,Initials
WG-01,ABC,10LBS,Ground fl tunnel near main hospital ,761650,F44671130,,,,
WG-02,ABC,10LBS,Ground fl tunnel near elevators 8/9/10 lobby,761776,I17695177,,,,
WG-03,ABC,5LBS,Ground fl tunnel across from elevators 8/9/10 ,761304,G13246832,,,,
WG-04,ABC,10LBS,Ground fl tunnel near elevators 6/7,761300,G16810016,,,,
W1-02,ABC,5LBS,Hall next to Womens classroom,761884,I15995076,,,,
W1-03,ABC,10LBS,South hall next to valet parking,761885,I15992747,,,,
W1-04,ABC,10LBS,1st floor in suite 101,761620,F-70314311,,,,
W1-05,ABC,5LBS,1st floor in Nursing Services,281828,H07164747,,,,
W1-06,ABC,5LBS,1st floor Womens Surgery exit by holding rm 5,281811,H07164702,,,,
W1-07,ABC,5LBS,1st floor Womens Surgery breakroom by holding rm 12,281816,H07164725,,,,
W1-08,ABC,10LBS,Womens Surgery autoclave at OR 3/4,281763,I17717020,,,,
W1-09,ABC,10LBS,Womens Surgery autoclave at OR 1/2,281762,I17713729,,,,
W1-10,ABC,10LBS,Womens Surgery autoclave at OR 5/7,281761,I17695180,,,,
W1-11,ABC,10LBS,Womens Surgery hall by OR 7,411879,BR591267,,,,
W1-12,ABC,5LBS,Communiction operator room,761777,I15998323,,,,
,ABC,10LBS,1st floor storage by Communications (Old locksmith shop),761784,I17713738,,,,
W1-14,ABC,5LBS,1st floor hall by Nursing Services,761783,I16006918,,,,
W1-15,ABC,5LBS,1st floor Womens Surgery by holding rm 11/12,281819,H07164698,,,,
W1-17,ABC,10LBS,Womens Surgery hall by old LDR 2,761778,I17717029,,,,
W1-18,ABC,5LBS,Womens Surgery hall by old LDR 10,281834,H07164684,,,,
W1-19,ABC,5LBS,Womens Surgery hall by old LDR 4,281827,H07164675,,,,
W1-21,ABC,5LBS,Old NICU Nursing Station,281809,H07164691,,,,
W1-22,ABC,5LBS,Old NICU center right column,761599,BE842787,,,,
W1-23,ABC,5LBS,1st floor hall to Womens Surgery suite ,281815,H07166615,,,,
,ABC,10LBS,1st floor SDS bronch suite,761412,F88832745,,,,
W1-24,ABC,5LBS,South hall next to gallery wall,761785,I06596558,,,,
W1-27,BC,5LBS,1st floor WOR 4,761166,F69491692,,,,
W1-28,BC,5LBS,1st floor WOR 3,761164,F69491714,,,,
W1-30,BC,5LBS,1st floor WOR 7,761652,H28955474,,,,
W1-31,BC,5LBS,1st floor WOR 6,761179,F69491708,,,,
W1-32,BC,5LBS,1st floor WOR 5,761162,F69491694,,,,
W1-33,BC,5LBS,1st floor WOR 1,761163,F69491707,,,,
W1-32,BC,5LBS,1st floor WOR 2,761165,F69491711,,,,
W1-35,BC,5LBS,1st floor Robot WOR 9,761160,F69491710,,,,
W1-36,BC,5LBS,1st floor Robot WOR 8,761159,F69491709,,,,
W1-37,BC,5LBS,1st floor Robot WOR 10,281813,I17717031,,,,
,ABC,5LBS,1st floor by WOR 10,761180,F69491713,,,,
W1-38,BC,5LBS,Inside womens Dr's Lounge,761779,I06594093,,,,
W1-39,ABC,5LBS,1st floor Womens Surgery in PACU,761651,F01497357,,,,
WC2-01,ABC,5LBS,2nd floor hall by stair 22/OB HG rm,761589,F51149679,,,,
WC2-02,ABC,5LBS,2nd floor inner hall by ET office,281810,F72245570,,,,
WC2-03,ABC,5LBS,2nd floor hall by room 2025,761646,G31902920,,,,
WC2-04,ABC,5LBS,2nd floor hall by room 2015,761645,G31902939,,,,
WC2-05,ABC,10LBS,2nd floor hall by dayroom,411670,F72245482,,,,
WC2-06,ABC,5LBS,2nd floor hall by room 2003,761781,I17695190,,,,
WC2-07,ABC,10LBS,2nd floor hall by room 266,761780,I16006919,,,,
MHW3-01,ABC,5LBS,3rd floor Specialty Select hall by stair 22,281825,F72245471,,,,
MHW3-03,ABC,5LBS,3rd floor Specialty Select hall by rm 3323,281807,F72245446,,,,
MHW3-04,ABC,5LBS,3rd floor Specialty Select hall by rm 3314,281795,F72245551,,,,
MHW3-05,ABC,10LBS,3rd floor Specialty Select hall by OT/PT gym,761588,F46778767,,,,
MHW-06,ABC,5LBS,3rd floor Specialty Select hall by rm 3328,281803,F72245533,,,,
MHW-07,ABC,5LBS,3rd floor Specialty Select hall by rm 3309,761782,I15987907,,,,
WT3-01,ABC,5LBS,3rd floor hall by staff only office/doors to lobby,761789,I16007465,,,,
WT3-02,ABC,5LBS,3rd floor hall by room 3017,281821,F72245466,,,,
WT3-03,ABC,5LBS,3rd floor L&D OR 2,761791,I15998324,,,,
WT3-04,ABC,5LBS,3rd floor L&D OR 1,761792,I15991568,,,,
WT3-01,ABC,5LBS,3rd floor L&D OR 3,761793,I16007467,,,,
WT3-05,ABC,5LBS,3rd floor L&D OR 4,761794,I16006916,,,,
WT3-06,ABC,5LBS,3rd floor hall by room 3007,761790,I15991571,,,,
WT3-07,ABC,5LBS,3rd floor hall by room 3001,761305,G13246830,,,,
WT4-01,ABC,5LBS,4th floor hall by staff only office/doors to lobby ,761795,I15995284,,,,
WT4-02,ABC,5LBS,4th floor hall by suite 1,761787,I16006915,,,,
WT4-03,ABC,5LBS,4th floor NS by room 4018 A/B,411591,AH197571,,,,
,ABC,5LBS,4th floor mech rm by rm 478 upper platform,761788,I15987905,,,,
E4-05,ABC,5LBS,4th floor roof (through mech rm by rm 478),281837,F72245489,,,,
E4-06,ABC,10LBS,4th floor mech rm by rm 478,761713,I17713240,,,,
WT4-04,ABC,5LBS,4th floor hall by EVS closet,281829,F72245480,,,,
WT5-01,ABC,5LBS,5th floor at stair 25 by room 5028,761797,I15987908,,,,
WT5-02,ABC,5LBS,5th floor center hall by NS,281738,F72245492,,,,
WT5-03,ABC,5LBS,5th floor center hall by EVS closet,761796,I16007466,,,,
WT5-04,ABC,5LBS,5th floor by room 5012,761114,F70314305,,,,
WT5-05,ABC,5LBS,5th floor lily pad nursery ,761144,F59541627,,,,
WT6-01,ABC,5LBS,6th floor center hall by NS,761798,I06602184,,,,
WT6-02,ABC,5LBS,6th floor by room 6012,761800,I16007463,,,,
WT6-03,ABC,5LBS,6th floor lily pad nursery,761649,G31902899,,,,
WT6-04,ABC,5LBS,6th floor center hall by elevators 4/5 lobby ,761799,I15995282,,,,
WT6-05,ABC,5LBS,6th floor at stair 25 by room 6028,761801,I15995283,,,,
WTPD-P2-01,ABC,10LBS,P2 garage right of elevators,761306,G13246827,,,,
WTPD-P2-02,ABC,10LBS,P2 garage by entrance only ramp,411718,F722454491,,,,
WTPD-P2-03,ABC,5LBS,P2 garage middle mech room,761303,G13248878,,,,
WTPD-P2-04,ABC,5LBS,P2 garage at stair 24 by storage rm ,761803,I16007464,,,,
WTPD-P2-05,ABC,10LBS,P2 garage back left wall in corner,761802,I17695188,,,,
WTPD-P1-01,ABC,5LBS,P1 garage back right wall by stair 24,761804,I17717028,,,,
WTPD-P1-03,ABC,10LBS,P1 garage back left electrical rm,761807,I07098498,,,,
WTPD-P1-04,PK,20LBS,P1 garage inside chiller room,761805,I15991569,,,,
WTPD-P1-05,ABC,10LBS,P1 garage outside elevator mach rm at elevators 4/5,761811,I17717024,,,,
WTPD-P1-06,ABC,5LBS,P1 garage inside boiler room,761593,F58421755,,,,
WTPD-P1-07,BC,5LBS,P1 garage wall left of Brookwood sign,761808,I17713230,,,,
WTPD-P1-08,ABC,10LBS,P1 right of main elevator lobby for 1/2/3,411865,F72245494,,,,
WTPD-P1-09,ABC,10LBS,P1 garage wall by stair 25,761812,I17713230,,,,
WTPD-P1-10,ABC,10LBS,P1 garage back right electrical rm by stair 24,761806,I07098501,,,,
WTPD-P1-12,ABC,10LBS,P1 garage in elevator mech rm,761810,I17713235,,,,
,ABC,10LBS,P1 garage fuel storage/mech rm,281780,F72245519,,,,
,BC,10LBS,P1 outside electrical rm,761809,i17695174,,,,
WMP-106,ABC,10LBS,1st floor hall by Impact suite 101,761786,I17717030,,,,
WMP-107,ABC,5LBS,1st floor Womens Surgery hall to WMC atrium/elevators,411541,F72245475,,,,


+

Location #,Type,Size,Location,Barcode,Serial Number,Pass Y/N,< 5ft Y/N,Date Inspected ,Initials
,ABC,10LBS,Ground by stair 24,761081,F70313481,,,,
,ABC,10LBS,Ground by EVS closet,761080,F70313478,,,,
,ABC,10LBS,Ground by elevator closet,761071,F70303695,,,,
,ABC,10LBS,Ground elevator machine room,761086,F70312273,,,,
,ABC,10LBS,Ground by stair 25,761083,F70314309,,,,
,ABC,10LBS,G5 By Admin Office ,411554,F-72245486,,,,
,ABC,10LBS,G5 by Kitchen ,761016,F-72245464,,,,
,ABC,10LBS,G5 by Directors office ,411983,F-72245514,,,,
POB1-01,ABC,10LBS,Suite 101 BIO Med wall office,281724,D57647584,,,,
POB1-02,ABC,10LBS,Suite 101 BIO Med Breakroom ,761005,E94122377,,,,
POB1-03,ABC,5LBS,Suite 114 Security next to console,411540,F72245498,,,,
POB1-04,ABC,10LBS,Suite 114 Security next to kitchen ,761218,F59540925,,,,
POB1-05,ABC,10LBS,Suite 114 Secuirty break room ,411495,AH197433,,,,
POB1-07,ABC,10LBS,Suite 104 hall by office,461626,F70313470,,,,
POB1-08,ABC,10LBS,Suite 111 Inmate holding back room,761601,F46777793,,,,
POB1-09,ABC,10LBS,Suite 120 Property manager copier ,281722,C91408194,,,,
POB1-10,ABC,10LBS,Suite 120 Property manager restroom,281721,D57603905,,,,
,ABC,10LBS,Suite 106 Rear by Back office ,761478,G16810003,,,,
,ABC,10LBS,1st by stair 24,761069,F70240344,,,,
,ABC,10LBS,1st by electrical closet,761089,F70314315,,,,
,ABC,10LBS,1st by stair 25,761078,F70313479,,,,
,ABC,10LBS,Suite 115 Back Hall  Psych Therapy Office,761359,G16812999,,,,
,ABC,10LBS,Suite 115 Front Hall ,281698,D58445272,,,,
,ABC,10LBS,Suite 112 Front Door ,761477,F88829991,,,,
,ABC,10LBS,Suite 112 by back door,761386,G16807137,,,,
POB2-04,ABC,5LBS,Suite 206 PAT by exam 1 ,761354,F99909374,,,,
POB2-05,ABC,10LBS,Suite 206 PAT by exam 7 ,411647,BL546116,,,,
POB2-06,ABC,10LBS,Suite 206 PAT by waiting room door,761622,F70313472,,,,
POB2-07,ABC,10LBS,Suite 206 PAT by supply ,761600,F46779134,,,,
POB2-01,ABC,10LBS,Suite 208 case mngr hallway ,761093,F95939403,,,,
POB2-02,ABC,10LBS,Suite 208 Psych case mngr breakroom,761095,F59538744,,,,
POB2-03,ABC,5LBS,Suite 215 BBH CV ,411887,C91409177,,,,
,ABC,10LBS,2nd by stair 25,761085,F70303136,,,,
,ABC,10LBS,2nd electrical closet,761087,F70314315,,,,
,ABC,10LBS,2nd by stair 24,761084,F70313474,,,,
,ABC,10LBS,Suite 205 Hallway,761011,E77735231,,,,
,ABC,10LBS,Suite 207 hallway,761199,F88789514,,,,
,ABC,10LBS,Suite 207 breakroom,761200,F88770818,,,,
,ABC,10LBS,Suite 209 hall by lab,761201,F88789516,,,,
,ABC,10LBS,Suite 214 hall by corner closet,761202,CB551700,,,,
,ABC,10LBS,Suite 214 corner nurse station,761203,CB551701,,,,
,ABC,5LBS,Suite 214 IS closet note on door,761204,AH197439,,,,
POB3-01,ABC,10LBS,Suite 308 Back hall education ,761361,G15034672,,,,
,ABC,10LBS,Suite 309 Vacant,761484,G16809998,,,,
POB3-02,ABC,10LBS,suite 312 Vacant,281720,C94509021,,,,
POB3-04,ABC,10LBS,Suite 314 Brookwood ENT ,281697,D57600965,,,,
,ABC,10LBS,Suite 315 Vacant,761482,G16810514,,,,
POB3-05,ABC,10LBS,Suite 301 Center Hall by Copy Center ,,F44671121,,,,
POB3-06,ABC,10LBS,Suite 301 North Hall ,411490,AC603743,,,,
POB3-07,ABC,10LBS,Suite 301 South Hall ,411491,AC603747,,,,
POB3-08,ABC,10LBS,Suite 301 Copy Center ,411504,C94510061,,,,
POB3-09,ABC,10LBS,Suite 304 BBH valve clinic hall ,411487,C945079352,,,,
POB3-10,ABC,10LBS,Suite 304 BBH Valve Clinic Breakroom  ,411488,C91410062,,,,
,ABC,10LBS,Suite 302 Vacant,761430,G16809095,,,,
,ABC,10LBS,Suite 305 Vacant,761483,G16810517,,,,
,ABC,10LBS,3rd  by stair 24,761090,F7030141,,,,
,ABC,10LBS,3rd electrical closet,761360,G16812989,,,,
,ABC,10LBS,3rd by suite 312,761079,F70303701,,,,
CA-01,ABC,10LBS,Lower level atrium to crosswalk,761013,E94119343,,,,
CA-02,ABC,10LBS,Lower level atrium  mechanical room,281711,D57648760,,,,
CAW-01,ABC,10LBS,Upper level atrium crosswalk,761632,F70303702,,,,
